Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Area,Q5_Income,Q6_Language,Q7_Purchase_Frequency,Q8_Monthly_Spend,Q9_Channels,Q10_Channel_Reason,Q11_Brand_Loyalty,Q12_Switching_Triggers,Q13_Price_Premium,Q14_Product_Categories,Q15_Halal_Certified,Q15_Natural_Organic,Q15_Free_From_Chemicals,Q15_Dermatologist_Tested,Q15_Vegan_Cruelty_Free,Q15_Arabian_Heritage,Q16_Product_Format,Q17_Festival_Triggers,Q18_Gift_Purchases,Q19_Cultural_Values,Q20_Discovery_Methods,Q21_Influencer_Impact,Q22_AI_Tool_Interest,Q23_Discount_Type,Q24_Loyalty_Programme,Q25_Brand_Interest
18-24,Male,"East Asian (Chinese, Korean, Japanese)",Downtown / Business Bay / DIFC,"35,001-50,000",English,Every 2 weeks,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC); Brand websites / D2C apps",Widest product range,Neutral,Recommendation from a friend or influencer,More than 50% more,Face skincare; Haircare; Men's grooming; Personal hygiene,Very Important,Very Important,Somewhat Important,Somewhat Important,Not Important,Very Important,Serum / oil-based concentrate,Eid al-Adha; Valentine's Day / Mother's Day; None - consistent spending,Rarely (once a year or less),Environmental sustainability; Heritage and tradition,TikTok; In-store browsing; Google search / blogs,Very strongly,Probably,Bundle deal,Very likely,Not interested at all
18-24,Male,African,Al Barsha / Discovery Gardens / JVC,"10,001-20,000",English,Weekly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Loyalty rewards / cashback,Neutral,Recommendation from a friend or influencer; Attractive packaging / brand story,Up to 10% more,Face skincare; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Very Important,Somewhat Important,Not Important,Somewhat Important,Somewhat Important,Somewhat Important,Lightweight gel / water-based; Sheet masks / single-use treatments,Christmas / New Year; Valentine's Day / Mother's Day; Wedding season / family events,"Yes, occasionally (2-4 times/year)",Heritage and tradition; Social image and status,YouTube; Friends / family,Moderately,"Yes, definitely",Free sample / trial size,Likely,Very interested
25-34,Female,"East Asian (Chinese, Korean, Japanese)",Dubai Marina / JBR / JLT,"35,001-50,000",English,Every 2 weeks,50-100,"Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC); Brand websites / D2C apps",Trusted recommendations / expert staff,Neutral,Lower price / better value,Up to 10% more,Face skincare; Body care; Fragrance / perfume / oud,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Essential,Serum / oil-based concentrate,None - consistent spending,"Yes, occasionally (2-4 times/year)",Health and wellness,YouTube; In-store browsing,Moderately,Probably,"Percentage discount (e.g., 20% off)",Very likely,Interested
25-34,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Downtown / Business Bay / DIFC,"5,000-10,000",English,Every 2-3 months,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Duty-free shops; Subscription boxes",Loyalty rewards / cashback,Somewhat loyal,Superior ingredients / formulation,0% - would not pay more,Body care; Haircare; Oral care,Essential,Very Important,Very Important,Essential,Somewhat Important,Somewhat Important,Rich cream / butter-based; Sheet masks / single-use treatments,Ramadan / Eid al-Fitr,"Yes, occasionally (2-4 times/year)",Social image and status,Google search / blogs; YouTube; TikTok,Slightly,Probably,Free shipping,Neutral,Interested
25-34,Male,Emirati,Deira / Bur Dubai / Al Karama,"20,001-35,000",Arabic,Every 2 weeks,401-700,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Loyalty rewards / cashback,Somewhat loyal,Availability in my preferred store; Superior ingredients / formulation,26-50% more,Face skincare; Body care; Men's grooming; Oral care,Very Important,Somewhat Important,Very Important,Very Important,Essential,Very Important,Lightweight gel / water-based; Sheet masks / single-use treatments,Ramadan / Eid al-Fitr; Eid al-Adha,Rarely (once a year or less),Scientific efficacy,Instagram; YouTube; Google search / blogs,Slightly,Unsure,Bundle deal,Unlikely,Very interested
25-34,Female,"Western Expat (European, American, Australian)",Deira / Bur Dubai / Al Karama,"20,001-35,000",English,Every 2 weeks,201-400,"Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Convenience / delivery speed,Neutral,Superior ingredients / formulation; Halal / clean / organic certification,Up to 10% more,Face skincare; Men's grooming; Colour cosmetics / makeup; Personal hygiene,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Essential,Somewhat Important,Sheet masks / single-use treatments,Christmas / New Year,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Environmental sustainability,TikTok; Friends / family,Very strongly,Unsure,Subscription discount,Likely,Neutral
45-54,Male,"Western Expat (European, American, Australian)",Deira / Bur Dubai / Al Karama,"20,001-35,000",Other,Monthly,Above 700,"Pharmacies (BinSina, Aster, Life Pharmacy)",Ability to test / try before buying,Somewhat loyal,Lower price / better value; Superior ingredients / formulation,11-25% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Somewhat Important,Essential,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Lightweight gel / water-based,Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Heritage and tradition; Scientific efficacy,Friends / family; Celebrity endorsements,Slightly,Probably,Free sample / trial size,Likely,Neutral
45-54,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Downtown / Business Bay / DIFC,"35,001-50,000",Arabic,Monthly,Above 700,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Best prices / discounts,Somewhat loyal,Superior ingredients / formulation,11-25% more,Haircare,Essential,Very Important,Very Important,Somewhat Important,Very Important,Essential,Lightweight gel / water-based,Christmas / New Year; Dubai Shopping Festival (DSF / DSS); Wedding season / family events,Never,Religious compliance (halal); Environmental sustainability,YouTube; Friends / family; In-store browsing,Not at all,Unsure,"Percentage discount (e.g., 20% off)",Neutral,Not very interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Mirdif / Al Warqa / Rashidiya,"10,001-20,000",English,Monthly,101-200,Subscription boxes,Widest product range,Low loyalty,Superior ingredients / formulation; Attractive packaging / brand story,Up to 10% more,Haircare; Fragrance / perfume / oud; Personal hygiene,Somewhat Important,Very Important,Somewhat Important,Not Important,Very Important,Very Important,Spray / mist,Ramadan / Eid al-Fitr; Eid al-Adha; Christmas / New Year; Wedding season / family events,"Yes, occasionally (2-4 times/year)",Religious compliance (halal),TikTok,Very strongly,Probably,"Percentage discount (e.g., 20% off)",Very likely,Neutral
25-34,Male,African,Al Barsha / Discovery Gardens / JVC,"5,000-10,000",Arabic,Rarely / Only when needed,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Convenience / delivery speed,Somewhat loyal,Superior ingredients / formulation,26-50% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Men's grooming,Not Important,Very Important,Somewhat Important,Essential,Very Important,Somewhat Important,Lightweight gel / water-based,Diwali,Never,Environmental sustainability; Scientific efficacy,In-store browsing; YouTube; Google search / blogs,Moderately,Probably,"Percentage discount (e.g., 20% off)",Likely,Neutral
18-24,Male,Emirati,Downtown / Business Bay / DIFC,"20,001-35,000",Arabic,Weekly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon); Duty-free shops",Best prices / discounts,No loyalty,Recommendation from a friend or influencer; Attractive packaging / brand story,Up to 10% more,Fragrance / perfume / oud; Men's grooming,Essential,Not Important,Somewhat Important,Very Important,Not Important,Very Important,Spray / mist; Rich cream / butter-based,Ramadan / Eid al-Fitr; Eid al-Adha; Christmas / New Year; Wedding season / family events,"Yes, occasionally (2-4 times/year)",Scientific efficacy,Instagram,Moderately,No,Bundle deal,Likely,Interested
55+,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"5,000-10,000",Hindi / Urdu,Monthly,Below 50,"Baqala / convenience stores; Online marketplaces (Amazon.ae, Noon); Hypermarkets (Carrefour, Lulu, Spinneys)",Loyalty rewards / cashback,Somewhat loyal,Superior ingredients / formulation; Halal / clean / organic certification,Up to 10% more,Face skincare; Body care; Oral care; Personal hygiene,Not Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Spray / mist,None - consistent spending,"Yes, frequently (5+ times/year)",Religious compliance (halal),Instagram; YouTube; Google search / blogs,Slightly,Probably,Loyalty points,Very likely,Not very interested
18-24,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Deira / Bur Dubai / Al Karama,"20,001-35,000",Arabic,Monthly,401-700,"Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon)",Widest product range,Neutral,Lower price / better value; Personalised products,11-25% more,Face skincare; Oral care,Very Important,Very Important,Not Important,Somewhat Important,Somewhat Important,Not Important,Multi-use / hybrid products; Sheet masks / single-use treatments,Ramadan / Eid al-Fitr; Christmas / New Year,Rarely (once a year or less),Religious compliance (halal); Health and wellness,Instagram,Moderately,"Yes, definitely",Bundle deal,Very likely,Very interested
25-34,Male,Filipino,Downtown / Business Bay / DIFC,"10,001-20,000",Tagalog / Filipino,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys)",Ability to test / try before buying,Neutral,Recommendation from a friend or influencer,0% - would not pay more,Oral care,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Essential,Lightweight gel / water-based; Multi-use / hybrid products,Ramadan / Eid al-Fitr; Diwali,Rarely (once a year or less),Religious compliance (halal); Scientific efficacy,YouTube,Moderately,"Yes, definitely","Percentage discount (e.g., 20% off)",Likely,Interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"20,001-35,000",Hindi / Urdu,Monthly,101-200,"Pharmacies (BinSina, Aster, Life Pharmacy); Hypermarkets (Carrefour, Lulu, Spinneys); Brand websites / D2C apps",Ability to test / try before buying,Neutral,Superior ingredients / formulation; Attractive packaging / brand story,26-50% more,Face skincare; Haircare; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Not Important,Somewhat Important,Essential,Very Important,Somewhat Important,Very Important,Spray / mist,Diwali; Christmas / New Year,Rarely (once a year or less),Heritage and tradition,Instagram,Not at all,Probably,"Percentage discount (e.g., 20% off)",Very likely,Interested
25-34,Male,"East Asian (Chinese, Korean, Japanese)",Silicon Oasis / Academic City / Sports City,"20,001-35,000",English,Monthly,Above 700,"Online marketplaces (Amazon.ae, Noon)",Convenience / delivery speed,Neutral,Lower price / better value,11-25% more,Face skincare; Haircare; Fragrance / perfume / oud,Very Important,Not Important,Somewhat Important,Very Important,Essential,Very Important,Rich cream / butter-based; Sheet masks / single-use treatments,Eid al-Adha; Valentine's Day / Mother's Day,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Scientific efficacy,Instagram,Very strongly,Probably,"Percentage discount (e.g., 20% off)",Likely,Very interested
18-24,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,"35,001-50,000",Hindi / Urdu,Monthly,50-100,Subscription boxes; Brand websites / D2C apps; Duty-free shops,Ability to test / try before buying,Very loyal,Attractive packaging / brand story; Availability in my preferred store,26-50% more,Face skincare; Haircare; Oral care,Essential,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Lightweight gel / water-based; Rich cream / butter-based,Dubai Shopping Festival (DSF / DSS); Wedding season / family events,Rarely (once a year or less),Heritage and tradition,Instagram,Moderately,No,Bundle deal,Very likely,Interested
35-44,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,Prefer not to say,English,Every 2 weeks,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Brand websites / D2C apps",Convenience / delivery speed,Somewhat loyal,Lower price / better value; Halal / clean / organic certification,0% - would not pay more,Face skincare; Haircare; Colour cosmetics / makeup,Essential,Somewhat Important,Very Important,Very Important,Essential,Essential,Rich cream / butter-based; Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Christmas / New Year; Wedding season / family events; None - consistent spending,"Yes, occasionally (2-4 times/year)",Scientific efficacy,Instagram; YouTube,Moderately,"Yes, definitely",Buy-one-get-one-free (BOGO),Very likely,Very interested
18-24,Male,Emirati,Mirdif / Al Warqa / Rashidiya,"35,001-50,000",Arabic,Every 2-3 months,50-100,Duty-free shops,Widest product range,Somewhat loyal,Recommendation from a friend or influencer; Lower price / better value,11-25% more,Face skincare; Fragrance / perfume / oud,Essential,Very Important,Very Important,Somewhat Important,Not Important,Very Important,Lightweight gel / water-based; Multi-use / hybrid products,Ramadan / Eid al-Fitr; Valentine's Day / Mother's Day,Never,Religious compliance (halal); Environmental sustainability,YouTube; Friends / family; TikTok,Not at all,"Yes, definitely",Free sample / trial size,Likely,Very interested
35-44,Female,"Western Expat (European, American, Australian)",Jumeirah / Umm Suqeim,"Above 50,000",English,Rarely / Only when needed,401-700,"Online marketplaces (Amazon.ae, Noon); Hypermarkets (Carrefour, Lulu, Spinneys); Brand websites / D2C apps",Ability to test / try before buying,Somewhat loyal,Superior ingredients / formulation; Personalised products,26-50% more,Face skincare; Colour cosmetics / makeup; Personal hygiene,Very Important,Somewhat Important,Essential,Not Important,Very Important,Essential,Serum / oil-based concentrate; Spray / mist,Valentine's Day / Mother's Day; Wedding season / family events,Rarely (once a year or less),Heritage and tradition,Google search / blogs; Subscription boxes,Moderately,Probably,"Percentage discount (e.g., 20% off)",Very likely,Neutral
18-24,Female,Other,Mirdif / Al Warqa / Rashidiya,"20,001-35,000",English,Every 2 weeks,101-200,"Beauty specialist stores (Sephora, Faces, MAC); Brand websites / D2C apps; Online marketplaces (Amazon.ae, Noon)",Convenience / delivery speed,Low loyalty,Lower price / better value; Superior ingredients / formulation,26-50% more,Face skincare; Body care; Men's grooming; Oral care; Personal hygiene,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Essential,Spray / mist,None - consistent spending,"Yes, occasionally (2-4 times/year)",Heritage and tradition,TikTok,Moderately,Probably,Free sample / trial size,Very likely,Very interested
18-24,Male,"Western Expat (European, American, Australian)",Downtown / Business Bay / DIFC,"Above 50,000",English,Every 2 weeks,Above 700,"Hypermarkets (Carrefour, Lulu, Spinneys); Baqala / convenience stores",Best prices / discounts,Very loyal,Halal / clean / organic certification,11-25% more,Face skincare,Somewhat Important,Somewhat Important,Essential,Very Important,Essential,Somewhat Important,Lightweight gel / water-based,Christmas / New Year,"Yes, occasionally (2-4 times/year)",Religious compliance (halal),Instagram; TikTok,Slightly,Probably,Bundle deal,Likely,Neutral
